track,race,horse,live_odds
Finger Lakes,1,#7 The Mighty Don,
Finger Lakes,2,#5 Bayou Melody,
Finger Lakes,3,#4 Tumbles,
Finger Lakes,4,#2 Ouch That Hurt,
Finger Lakes,5,#4 Tetsu,
Finger Lakes,6,#2 Goldini,
Finger Lakes,7,#3 Emerald Forest,
Finger Lakes,8,#2 Gringotts,
Parx Racing,1,#5 To Be Loved by You,
Parx Racing,2,#2 Boss Like Beth,
Parx Racing,3,#4 Winbori,
Parx Racing,4,#6 L Golden Boy,
Parx Racing,5,#6 Bestsugardaddyever,
Parx Racing,6,#3 Market Maven,
Parx Racing,7,#5 Keithsendshelloooo,
Parx Racing,8,#7 Leftover Sushi,
Parx Racing,9,#7 Majestic Creed,
